Wall time,Step,Value
1495662158.546593,14845,0.96875
1495662165.755218,14922,0.9921875
1495662179.267262,15063,0.984375
1495662181.5317404,15087,0.984375
1495662194.6955495,15223,1.0
1495662203.5660295,15319,1.0
1495662208.913571,15378,0.984375
1495662210.0445197,15389,0.9609375
1495662237.5575545,15673,0.9765625
1495662247.6872,15784,0.9921875
1495662250.1876562,15812,0.984375
1495662254.9939013,15863,0.953125
1495662263.903528,15960,1.0
1495662266.734462,15991,0.984375
1495662267.1897745,15996,0.9765625
1495662268.7911987,16013,0.96875
1495662277.9787252,16102,0.984375
1495662299.8727338,16306,0.9609375
1495662307.5716867,16378,0.9921875
1495662328.2523446,16570,0.9765625
1495662329.874851,16582,0.96875
1495662347.0033407,16729,0.9765625
1495662348.1074333,16739,0.9609375
1495662348.768655,16745,0.984375
1495662349.2054238,16749,0.96875
1495662352.6226115,16780,0.9921875
1495662352.80747,16782,0.96875
1495662354.2888415,16796,1.0
1495662354.9408326,16802,0.984375
1495662362.929058,16875,0.953125
1495662389.334009,17122,0.984375
1495662398.6768148,17210,0.9609375
1495662401.4085205,17236,0.984375
1495662411.1408174,17326,0.953125
1495662414.1188717,17353,0.9765625
1495662421.9025154,17423,0.9765625
1495662429.2136073,17491,0.984375
1495662437.4240634,17573,0.9765625
1495662442.2722273,17621,0.984375
1495662443.7886372,17637,0.9921875
1495662465.6188352,17862,0.9765625
1495662474.5560372,17953,0.9609375
1495662488.0294363,18088,0.984375
1495662488.6616797,18095,0.9765625
1495662500.6301348,18216,0.9765625
1495662502.9360042,18240,0.9765625
1495662505.2879686,18264,0.9921875
1495662511.2160926,18326,0.9609375
1495662520.4794273,18421,0.9609375
1495662531.2289476,18532,0.9765625
1495662532.9283032,18550,0.984375
1495662536.0651362,18581,0.9765625
1495662554.0347118,18760,0.96875
1495662563.6939669,18858,0.9765625
1495662579.0932062,19013,0.9765625
1495662582.122736,19046,0.96875
1495662583.7409947,19063,0.9921875
1495662587.6743453,19102,0.984375
1495662613.2492442,19360,0.984375
1495662632.6472528,19556,0.9921875
1495662637.312073,19600,1.0
1495662640.5513477,19635,0.96875
1495662643.741193,19665,0.984375
1495662646.1670036,19689,0.9921875
1495662649.3731387,19721,0.9609375
1495662656.615968,19793,0.984375
1495662659.2603357,19820,0.9765625
1495662659.7237732,19824,0.984375
1495662661.2656636,19839,0.9765625
1495662663.7438872,19865,0.9765625
1495662665.9794307,19887,0.984375
1495662682.6753106,20058,0.9765625
1495662683.0431745,20062,0.9765625
1495662684.416774,20075,0.984375
1495662692.1355872,20155,0.9765625
1495662692.4964411,20159,0.9765625
1495662696.1267645,20195,0.984375
1495662705.14318,20282,0.96875
1495662705.7991352,20289,0.9765625
1495662710.3028033,20333,0.984375
1495662715.5647848,20386,0.9921875
1495662719.2242913,20425,0.96875
1495662725.2439222,20486,0.96875
1495662735.07733,20583,1.0
1495662738.745656,20621,0.96875
1495662743.2373178,20667,0.96875
1495662743.34093,20668,0.96875
1495662749.0778968,20727,0.9765625
1495662758.2717888,20811,0.984375
1495662764.0891132,20884,0.96875
1495662765.106572,20898,0.9453125
1495662777.8658457,21046,0.984375
1495662780.8757062,21076,0.9609375
1495662786.6920679,21135,0.9765625
1495662791.8375854,21186,0.9921875
1495662812.300514,21392,0.96875
1495662813.1082518,21401,0.9921875
1495695300.995266,33,0.140625
1495695310.5645776,168,0.078125
1495695313.170201,204,0.078125
1495695321.2824566,319,0.15625
1495695329.4185665,432,0.109375
1495695334.4146848,500,0.1015625
1495695336.8351712,535,0.1328125
1495695347.6305263,685,0.0703125
1495695348.2523808,694,0.1640625
1495695350.1180992,721,0.1171875
1495695352.574576,751,0.1328125
1495695355.0060081,785,0.1015625
1495695358.2875235,830,0.0859375
1495695360.8741157,866,0.125
1495695369.07633,979,0.109375
1495695370.2043421,995,0.09375
1495695374.6408784,1057,0.1015625
1495695375.8158,1074,0.09375
1495695381.9441555,1160,0.1328125
1495695382.5548172,1169,0.1015625
1495695395.9894032,1357,0.1015625
1495695399.7401338,1409,0.1328125
1495695421.8044527,1718,0.078125
1495695431.9890134,1859,0.1171875
1495695434.979809,1902,0.0859375
1495695438.9534957,1955,0.078125
1495695439.4506364,1962,0.125
1495695440.8913634,1982,0.1640625
1495695442.665196,2008,0.09375
1495695449.2051535,2098,0.1171875
1495695452.9239705,2150,0.0703125
1495695457.181415,2210,0.125
1495695457.758262,2217,0.125
1495695459.7699642,2246,0.1328125
1495695463.5632567,2299,0.0625
1495695463.8387308,2303,0.1171875
1495695464.7315688,2316,0.1796875
1495695465.7066941,2330,0.1484375
1495695467.5233693,2354,0.15625
1495695468.3832874,2366,0.109375
1495695470.9032419,2398,0.125
1495695471.3970783,2405,0.09375
1495695472.5756495,2419,0.125
1495695480.742615,2532,0.1171875
1495695481.5274367,2543,0.1171875
1495695481.9630888,2549,0.046875
1495695485.033706,2590,0.125
1495695485.311188,2594,0.1328125
1495695486.283227,2608,0.109375
1495695487.8819149,2631,0.09375
1495695495.7957287,2737,0.1796875
1495695503.6489143,2842,0.1875
1495695504.7892947,2858,0.1015625
1495695507.1039429,2888,0.1015625
1495695521.3112276,3082,0.15625
1495695528.0067625,3175,0.1015625
1495695528.5714355,3183,0.078125
1495695536.5410542,3291,0.1796875
1495695537.8915975,3311,0.0859375
1495695552.3269625,3505,0.359375
1495695562.4314303,3643,0.1640625
1495695586.0419192,3933,0.3203125
1495695590.0260026,3987,0.2265625
1495695591.9302802,4012,0.3515625
1495695601.1510677,4138,0.4296875
1495695606.9428105,4219,0.375
1495695611.1622908,4280,0.484375
1495695612.6921253,4299,0.5390625
1495695616.7745476,4358,0.46875
1495695630.8981504,4553,0.625
1495695638.8978052,4667,0.703125
1495695642.5059052,4717,0.6484375
1495695649.269636,4810,0.7578125
1495695650.3636937,4826,0.7109375
1495695652.5053449,4856,0.7265625
1495695657.7165182,4929,0.7734375
1495695665.9811769,5043,0.84375
1495695672.2240255,5131,0.75
1495695677.1719549,5199,0.8359375
1495695683.7582214,5290,0.8671875
1495695683.893747,5292,0.8125
1495695684.305903,5298,0.78125
1495695697.4609017,5480,0.84375
1495695708.9973385,5640,0.8515625
1495695711.9141555,5676,0.828125
1495695720.2932591,5791,0.859375
1495695720.5752792,5795,0.8203125
1495695727.3679278,5888,0.8515625
1495695731.184479,5943,0.921875
1495695735.504693,6003,0.890625
1495695742.4484828,6098,0.859375
1495695764.8064709,6411,0.921875
1495695768.120119,6455,0.9375
1495695768.419509,6459,0.921875
1495695768.972546,6467,0.9140625
1495695779.7583487,6615,0.8984375
1495695783.0926192,6662,0.890625
1495695787.8549235,6728,0.9375
1495695787.997738,6730,0.9296875
1495695800.1538846,6898,0.9375
1495695804.2898479,6953,0.953125
1495695806.2824566,6981,0.9609375
1495695808.7825332,7014,0.9375
1495695810.4288113,7038,0.9296875
1495695811.1251442,7048,0.921875
1495695820.1720448,7171,0.9765625
1495695821.444546,7189,0.921875
1495695829.6492589,7302,0.90625
1495695833.0107303,7343,0.9453125
1495695841.9361315,7463,0.953125
1495695849.4466102,7567,0.9453125
1495695851.7544007,7600,0.921875
1495695856.3912203,7664,0.9296875
1495695857.0915217,7674,0.9765625
1495695862.9653215,7753,0.9296875
1495695864.0303764,7768,0.953125
1495695866.8781545,7805,0.9453125
1495695885.5841656,8062,0.9453125
1495695886.1428149,8070,0.9140625
1495695890.5021515,8129,0.9453125
1495695891.4602015,8143,0.9375
1495695903.6974607,8309,0.9609375
1495695907.9318283,8367,0.9609375
1495695908.4266758,8374,0.96875
1495695908.718519,8378,0.953125
1495695908.989592,8382,0.9140625
1495695919.1935582,8523,0.96875
1495695921.5472827,8556,0.9453125
1495695922.3299282,8567,0.9609375
1495695931.1013396,8684,0.953125
